RefId,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
1,12-07-2009,ADESA,2006,3,MAZDA,MAZDA3,I,4D SEDAN I,RED,Auto,1,Alloy,89046,OTHER ASIAN,MEDIUM,OTHER,8155,9829,11636,13600,7451,8552,11597,12409,NO,GREEN,21973,33619,FL,7100,0,1113
2,12-07-2009,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,Auto,1,Alloy,93593,AMERICAN,LARGE TRUCK,CHRYSLER,6854,8383,10897,12572,7456,9222,11374,12791,NO,GREEN,19638,33619,FL,7600,0,1053
3,12-07-2009,ADESA,2005,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,MAROON,Auto,2,Covers,73807,AMERICAN,MEDIUM,CHRYSLER,3202,4760,6943,8457,4035,5557,7146,8702,NO,GREEN,19638,33619,FL,4900,0,1389
4,12-07-2009,ADESA,2004,5,DODGE,NEON,SXT,4D SEDAN,SILVER,Auto,1,Alloy,65617,AMERICAN,COMPACT,CHRYSLER,1893,2675,4658,5690,1844,2646,4375,5518,NO,GREEN,19638,33619,FL,4100,0,630
5,12-07-2009,ADESA,2005,4,FORD,FOCUS,ZX3,2D COUPE ZX3,SILVER,Manual,2,Covers,69367,AMERICAN,COMPACT,FORD,3913,5054,7723,8707,3247,4384,6739,7911,NO,GREEN,19638,33619,FL,4000,0,1020
6,12-07-2009,ADESA,2004,5,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,WHITE,Auto,2,Covers,81054,OTHER ASIAN,MEDIUM,OTHER,3901,4908,6706,8577,4709,5827,8149,9451,NO,GREEN,19638,33619,FL,5600,0,594
7,12-07-2009,ADESA,2004,5,KIA,SPECTRA,EXE,4D SEDAN EX,BLACK,Auto,2,Covers,65328,OTHER ASIAN,MEDIUM,OTHER,2966,4038,6240,8496,2980,4115,6230,8603,NO,GREEN,19638,33619,FL,4200,0,533
8,12-07-2009,ADESA,2005,4,FORD,TAURUS,SE,4D SEDAN SE,WHITE,Auto,2,Covers,65805,AMERICAN,MEDIUM,FORD,3313,4342,6667,7707,3713,4578,6942,8242,NO,GREEN,19638,33619,FL,4500,0,825
9,12-07-2009,ADESA,2007,2,KIA,SPECTRA,EXE,4D SEDAN EX,BLACK,Auto,2,Covers,49921,OTHER ASIAN,MEDIUM,OTHER,6196,7274,9687,10624,6417,7371,9637,10778,NO,GREEN,21973,33619,FL,5600,0,482
10,12-07-2009,ADESA,2007,2,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,RED,Auto,1,Alloy,84872,AMERICAN,LARGE,FORD,7845,9752,11734,13656,9167,10988,12580,14845,NO,GREEN,21973,33619,FL,7700,0,1633
